# ECO | Aile | Varyant | SAN hamleleri
# Kaynak: Scid vs. PC scid.eco (Shane Hudson ve diğerleri, GPL).
# Aile adları Türkçeleştirildi; varyant adları kaynaktaki gibi.
B01|İskandinav Savunması|Marshall, 4.c4 Nb6 5.Nf3 Bg4 6.Be2 e6|e4 d5 exd5 Nf6 d4 Nxd5 c4 Nb6 Nf3 Bg4 Be2 e6
B01|İskandinav Savunması|Marshall, 4.c4 Nb6 5.Nf3 Bg4 6.c5|e4 d5 exd5 Nf6 d4 Nxd5 c4 Nb6 Nf3 Bg4 c5
B01|İskandinav Savunması|Marshall, 4.c4 Nb6 5.Nf3 g6|e4 d5 exd5 Nf6 d4 Nxd5 c4 Nb6 Nf3 g6
B01|İskandinav Savunması|Marshall, 4.c4 Nb6 5.Nf3 g6 6.Be2|e4 d5 exd5 Nf6 d4 Nxd5 c4 Nb6 Nf3 g6 Be2
B01|İskandinav Savunması|Marshall, 4.c4 Nb6 5.Nf3 g6 6.Be2 Bg7|e4 d5 exd5 Nf6 d4 Nxd5 c4 Nb6 Nf3 g6 Be2 Bg7
B01|İskandinav Savunması|Marshall, 4.c4 Nb6 5.Nf3 g6 6.Nc3|e4 d5 exd5 Nf6 d4 Nxd5 c4 Nb6 Nf3 g6 Nc3
B01|İskandinav Savunması|Marshall, 4.c4 Nb6 5.Nf3 g6 6.Nc3 Bg7|e4 d5 exd5 Nf6 d4 Nxd5 c4 Nb6 Nf3 g6 Nc3 Bg7
B01|İskandinav Savunması|Marshall, 4.c4 Nb6 5.Nf3 g6 6.h3|e4 d5 exd5 Nf6 d4 Nxd5 c4 Nb6 Nf3 g6 h3
B01|İskandinav Savunması|Marshall, 4.c4 Nb6 5.Nf3 g6 6.h3 Bg7|e4 d5 exd5 Nf6 d4 Nxd5 c4 Nb6 Nf3 g6 h3 Bg7
B01|İskandinav Savunması|Marshall, 4.c4 Nf6|e4 d5 exd5 Nf6 d4 Nxd5 c4 Nf6
B01|İskandinav Savunması|Portuguese Variation|e4 d5 exd5 Nf6 d4 Bg4
B01|İskandinav Savunması|Portuguese, 4.Bb5+|e4 d5 exd5 Nf6 d4 Bg4 Bb5+
B01|İskandinav Savunması|Portuguese, 4.Be2|e4 d5 exd5 Nf6 d4 Bg4 Be2
B01|İskandinav Savunması|Portuguese, 4.Be2 Bxe2|e4 d5 exd5 Nf6 d4 Bg4 Be2 Bxe2
B01|İskandinav Savunması|Portuguese, 4.Nf3|e4 d5 exd5 Nf6 d4 Bg4 Nf3
B01|İskandinav Savunması|Portuguese, 4.Nf3 Qxd5|e4 d5 exd5 Nf6 d4 Bg4 Nf3 Qxd5
B01|İskandinav Savunması|Portuguese, 4.Nf3 Qxd5 5.Be2|e4 d5 exd5 Nf6 d4 Bg4 Nf3 Qxd5 Be2
B01|İskandinav Savunması|Portuguese, 4.Nf3 Qxd5 5.Be2 Nc6|e4 d5 exd5 Nf6 d4 Bg4 Nf3 Qxd5 Be2 Nc6
B01|İskandinav Savunması|Portuguese, 4.f3|e4 d5 exd5 Nf6 d4 Bg4 f3
B01|İskandinav Savunması|Portuguese, 4.f3 Bf5|e4 d5 exd5 Nf6 d4 Bg4 f3 Bf5
B01|İskandinav Savunması|Portuguese, 4.f3 Bf5 5.Bb5+|e4 d5 exd5 Nf6 d4 Bg4 f3 Bf5 Bb5+
B01|İskandinav Savunması|Portuguese, 4.f3 Bf5 5.Bb5+ Nbd7|e4 d5 exd5 Nf6 d4 Bg4 f3 Bf5 Bb5+ Nbd7
B01|İskandinav Savunması|Portuguese, 4.f3 Bf5 5.Bb5+ Nbd7 6.c4|e4 d5 exd5 Nf6 d4 Bg4 f3 Bf5 Bb5+ Nbd7 c4
B01|İskandinav Savunması|Portuguese, 4.f3 Bf5 5.c4|e4 d5 exd5 Nf6 d4 Bg4 f3 Bf5 c4
B01|İskandinav Savunması|Richter Variation|e4 d5 exd5 Nf6 d4 g6
B01|İskandinav Savunması|Scandinavian Gambit|e4 d5 exd5 Nf6 c4 c6
B01|İskandinav Savunması|Scandinavian Gambit Accepted|e4 d5 exd5 Nf6 c4 c6 dxc6
B01|İskandinav Savunması|Schiller Defence|e4 d5 exd5 Qxd5 Nc3 Qd6
B01|İskandinav Savunması|Schiller, 4.d4 Nf6|e4 d5 exd5 Qxd5 Nc3 Qd6 d4 Nf6
B01|İskandinav Savunması|Schiller, Bronstein Variation|e4 d5 exd5 Qxd5 Nc3 Qd6 d4 Nf6 Nf3 a6
B02|Alekhine Defence|Ana Hat|e4 Nf6
B02|Alekhine Savunması|2.e5|e4 Nf6 e5
B02|Alekhine Savunması|2.e5 Nd5|e4 Nf6 e5 Nd5
B02|Alekhine Savunması|3.Bc4|e4 Nf6 e5 Nd5 Bc4
B02|Alekhine Savunması|Brooklyn Defence (Retreat Variation)|e4 Nf6 e5 Ng8
B02|Alekhine Savunması|Chase Variation|e4 Nf6 e5 Nd5 c4
B02|Alekhine Savunması|Chase Variation|e4 Nf6 e5 Nd5 c4 Nb6
B02|Alekhine Savunması|Chase, Steiner Variation|e4 Nf6 e5 Nd5 c4 Nb6 b3
B02|Alekhine Savunması|Kmoch Variation|e4 Nf6 e5 Nd5 Bc4 Nb6 Bb3 c5 d3
B02|Alekhine Savunması|Krejcik Variation|e4 Nf6 Bc4
B02|Alekhine Savunması|Maroczy Variation|e4 Nf6 d3
B02|Alekhine Savunması|Mokele Mbembe (Bücker) Variation|e4 Nf6 e5 Ne4
B02|Alekhine Savunması|Scandinavian Variation|e4 Nf6 Nc3
B02|Alekhine Savunması|Scandinavian Variation|e4 Nf6 Nc3 d5
B02|Alekhine Savunması|Scandinavian, 3.e5|e4 Nf6 Nc3 d5 e5
B02|Alekhine Savunması|Scandinavian, 3.e5 Ne4|e4 Nf6 Nc3 d5 e5 Ne4
B02|Alekhine Savunması|Scandinavian, 3.e5 Nfd7|e4 Nf6 Nc3 d5 e5 Nfd7
B02|Alekhine Savunması|Scandinavian, Exchange|e4 Nf6 Nc3 d5 exd5
B02|Alekhine Savunması|Scandinavian, Exchange|e4 Nf6 Nc3 d5 exd5 Nxd5
B02|Alekhine Savunması|Scandinavian, Exchange, 4.Bc4|e4 Nf6 Nc3 d5 exd5 Nxd5 Bc4
B02|Alekhine Savunması|Scandinavian, Exchange, 4.Bc4 Nb6|e4 Nf6 Nc3 d5 exd5 Nxd5 Bc4 Nb6
B02|Alekhine Savunması|Scandinavian, Exchange, 4.Bc4 e6|e4 Nf6 Nc3 d5 exd5 Nxd5 Bc4 e6
B02|Alekhine Savunması|Scandinavian, Exchange, 4.Nf3|e4 Nf6 Nc3 d5 exd5 Nxd5 Nf3
B02|Alekhine Savunması|Scandinavian, Exchange, 4.Nxd5|e4 Nf6 Nc3 d5 exd5 Nxd5 Nxd5
B02|Alekhine Savunması|Scandinavian, Exchange, 4.Nxd5|e4 Nf6 Nc3 d5 exd5 Nxd5 Nxd5 Qxd5
B02|Alekhine Savunması|Scandinavian, Geschev Gambit|e4 Nf6 Nc3 d5 exd5 c6
B02|Alekhine Savunması|Spielmann Gambit|e4 Nf6 Nc3 d5 e5 Nfd7 e6
B02|Alekhine Savunması|Sämisch Attack|e4 Nf6 e5 Nd5 Nc3
B02|Alekhine Savunması|Sämisch Attack, 3...Nxc3|e4 Nf6 e5 Nd5 Nc3 Nxc3
B02|Alekhine Savunması|Sämisch Attack, 3...Nxc3 4.dxc3|e4 Nf6 e5 Nd5 Nc3 Nxc3 dxc3
B02|Alekhine Savunması|Two Pawns (Lasker) Attack|e4 Nf6 e5 Nd5 c4 Nb6 c5
B02|Alekhine Savunması|Two Pawns Attack, 5.Bc4|e4 Nf6 e5 Nd5 c4 Nb6 c5 Nd5 Bc4
B02|Alekhine Savunması|Two Pawns Attack, 5.Nc3|e4 Nf6 e5 Nd5 c4 Nb6 c5 Nd5 Nc3
B02|Alekhine Savunması|Two Pawns Attack, Mikenas Variation|e4 Nf6 e5 Nd5 c4 Nb6 c5 Nd5 Bc4 e6 Nc3 d6
B02|Alekhine Savunması|Welling Variation|e4 Nf6 e5 Nd5 b3
B03|Alekhine Savunması|3.d4|e4 Nf6 e5 Nd5 d4
B03|Alekhine Savunması|3.d4 d6|e4 Nf6 e5 Nd5 d4 d6
B03|Alekhine Savunması|3.d4 d6 4.exd6|e4 Nf6 e5 Nd5 d4 d6 exd6
B03|Alekhine Savunması|4.c4|e4 Nf6 e5 Nd5 d4 d6 c4
B03|Alekhine Savunması|4.c4 Nb6|e4 Nf6 e5 Nd5 d4 d6 c4 Nb6
