# ECO | Aile | Varyant | SAN hamleleri
# Kaynak: Scid vs. PC scid.eco (Shane Hudson ve diğerleri, GPL).
# Açılış adları kaynaktaki gibi, İngilizce.
A59|Benko Gambit: 7.e4|Main Line, 11...Nbd7 12.h3 Ra6 13.Re1|d4 Nf6 c4 c5 d5 b5 cxb5 a6 bxa6 Bxa6 Nc3 d6 e4 Bxf1 Kxf1 g6 g3 Bg7 Kg2 O-O Nf3 Nbd7 h3 Ra6 Re1
A59|Benko Gambit: 7.e4 Line|9.Nf3|d4 Nf6 c4 c5 d5 b5 cxb5 a6 bxa6 Bxa6 Nc3 d6 e4 Bxf1 Kxf1 g6 Nf3
A59|Benko Gambit: 7.e4 Line|9.Nge2|d4 Nf6 c4 c5 d5 b5 cxb5 a6 bxa6 Bxa6 Nc3 d6 e4 Bxf1 Kxf1 g6 Nge2
A59|Benko Gambit: 7.e4 Line|9.g3|d4 Nf6 c4 c5 d5 b5 cxb5 a6 bxa6 Bxa6 Nc3 d6 e4 Bxf1 Kxf1 g6 g3
A59|Benko Gambit: 7.e4 Line|9.g4|d4 Nf6 c4 c5 d5 b5 cxb5 a6 bxa6 Bxa6 Nc3 d6 e4 Bxf1 Kxf1 g6 g4
A59|Benko Gambit: 7.e4 Line|9.Nf3 Bg7 10.h3|d4 Nf6 c4 c5 d5 b5 cxb5 a6 bxa6 Bxa6 Nc3 d6 e4 Bxf1 Kxf1 g6 Nf3 Bg7 h3
A59|Benko Gambit: 7.e4 Line|9.Nf3 Bg7 10.h3 Nbd7|d4 Nf6 c4 c5 d5 b5 cxb5 a6 bxa6 Bxa6 Nc3 d6 e4 Bxf1 Kxf1 g6 Nf3 Bg7 h3 Nbd7
A58|Benko Gambit: Accepted|6.Nc3|d4 Nf6 c4 c5 d5 b5 cxb5 a6 bxa6 Bxa6 Nc3
A58|Benko Gambit: Accepted|6.g3|d4 Nf6 c4 c5 d5 b5 cxb5 a6 bxa6 Bxa6 g3
A58|Benko Gambit: Accepted|6.Nc3 d6|d4 Nf6 c4 c5 d5 b5 cxb5 a6 bxa6 Bxa6 Nc3 d6
A58|Benko Gambit: Accepted|6.Nc3 g6|d4 Nf6 c4 c5 d5 b5 cxb5 a6 bxa6 Bxa6 Nc3 g6
A58|Benko Gambit: Accepted|7.Nf3|d4 Nf6 c4 c5 d5 b5 cxb5 a6 bxa6 Bxa6 Nc3 d6 Nf3
A58|Benko Gambit: Accepted|7.f4 (7 hamle)|d4 Nf6 c4 c5 d5 b5 cxb5 a6 bxa6 Bxa6 Nc3 d6 f4
A58|Benko Gambit: Accepted|7.g3 (7 hamle)|d4 Nf6 c4 c5 d5 b5 cxb5 a6 bxa6 Bxa6 Nc3 d6 g3
A58|Benko Gambit: Accepted|6.g3 d6 7.Bg2 g6|d4 Nf6 c4 c5 d5 b5 cxb5 a6 bxa6 Bxa6 g3 d6 Bg2 g6
A58|Benko Gambit: Accepted|7.Nf3 g6|d4 Nf6 c4 c5 d5 b5 cxb5 a6 bxa6 Bxa6 Nc3 d6 Nf3 g6
A58|Benko Gambit: Accepted|7.f4 (7...g6)|d4 Nf6 c4 c5 d5 b5 cxb5 a6 bxa6 Bxa6 Nc3 d6 f4 g6
A58|Benko Gambit: Accepted|7.g3 (7...g6)|d4 Nf6 c4 c5 d5 b5 cxb5 a6 bxa6 Bxa6 Nc3 d6 g3 g6
A58|Benko Gambit: Accepted|6.g3 d6 7.Bg2 g6 8.b3|d4 Nf6 c4 c5 d5 b5 cxb5 a6 bxa6 Bxa6 g3 d6 Bg2 g6 b3
A58|Benko Gambit: Accepted|7.Nf3 g6 8.Nd2|d4 Nf6 c4 c5 d5 b5 cxb5 a6 bxa6 Bxa6 Nc3 d6 Nf3 g6 Nd2
A58|Benko Gambit: Accepted|7.Nf3 g6 8.Nd2 Bg7|d4 Nf6 c4 c5 d5 b5 cxb5 a6 bxa6 Bxa6 Nc3 d6 Nf3 g6 Nd2 Bg7
A58|Benko Gambit: Accepted|7.Nf3 g6 8.Nd2 Qa5|d4 Nf6 c4 c5 d5 b5 cxb5 a6 bxa6 Bxa6 Nc3 d6 Nf3 g6 Nd2 Qa5
A58|Benko Gambit: Fianchetto|9.Bg2|d4 Nf6 c4 c5 d5 b5 cxb5 a6 bxa6 Bxa6 Nc3 d6 Nf3 g6 g3 Bg7 Bg2
A58|Benko Gambit: Fianchetto|9.Bh3|d4 Nf6 c4 c5 d5 b5 cxb5 a6 bxa6 Bxa6 Nc3 d6 Nf3 g6 g3 Bg7 Bh3
A58|Benko Gambit: Fianchetto|9...Nbd7|d4 Nf6 c4 c5 d5 b5 cxb5 a6 bxa6 Bxa6 Nc3 d6 Nf3 g6 g3 Bg7 Bg2 Nbd7
A58|Benko Gambit: Fianchetto|9...O-O|d4 Nf6 c4 c5 d5 b5 cxb5 a6 bxa6 Bxa6 Nc3 d6 Nf3 g6 g3 Bg7 Bg2 O-O
A58|Benko Gambit: Fianchetto|9...Nbd7 10.O-O Nb6|d4 Nf6 c4 c5 d5 b5 cxb5 a6 bxa6 Bxa6 Nc3 d6 Nf3 g6 g3 Bg7 Bg2 Nbd7 O-O Nb6
A58|Benko Gambit: Fianchetto|Main Line|d4 Nf6 c4 c5 d5 b5 cxb5 a6 bxa6 Bxa6 Nc3 d6 Nf3 g6 g3 Bg7 Bg2 O-O O-O Nbd7
A58|Benko Gambit: Fianchetto|Main Line, 11.Qc2|d4 Nf6 c4 c5 d5 b5 cxb5 a6 bxa6 Bxa6 Nc3 d6 Nf3 g6 g3 Bg7 Bg2 O-O O-O Nbd7 Qc2
A58|Benko Gambit: Fianchetto|Main Line, 11.Rb1|d4 Nf6 c4 c5 d5 b5 cxb5 a6 bxa6 Bxa6 Nc3 d6 Nf3 g6 g3 Bg7 Bg2 O-O O-O Nbd7 Rb1
A58|Benko Gambit: Fianchetto|Main Line, 11.Re1|d4 Nf6 c4 c5 d5 b5 cxb5 a6 bxa6 Bxa6 Nc3 d6 Nf3 g6 g3 Bg7 Bg2 O-O O-O Nbd7 Re1
A58|Benko Gambit: Fianchetto|Main Line, 11.Qc2 Qb6|d4 Nf6 c4 c5 d5 b5 cxb5 a6 bxa6 Bxa6 Nc3 d6 Nf3 g6 g3 Bg7 Bg2 O-O O-O Nbd7 Qc2 Qb6
A57|Benko Gambit: Zaitsev|5...Qa5|d4 Nf6 c4 c5 d5 b5 cxb5 a6 Nc3 Qa5
A57|Benko Gambit: Zaitsev|5...axb5|d4 Nf6 c4 c5 d5 b5 cxb5 a6 Nc3 axb5
